Ranking,Natl.,Wins,Total,Finals,Clay,Total.Clay,Hard,Total.Hard,Grass,Total.Grass,Year.Wins,Year.Total,Year.Finals,Year.Clay,Year.Clay.Total,Year.Hard,Year.Hard.Total,Year.Grass,Year.Grass.Total,ChTitles,YearTitles
255,RUS,31,71,0,5,16,26,55,0,0,20,42,0,1,8,19,34,0,0,0,0
256,UKR,200,343,15,11,29,177,292,5,11,25,41,1,2,4,20,32,0,0,7,1
257,RUS,43,97,2,3,13,35,76,0,1,23,48,1,3,8,16,34,0,1,1,0
258,DOM,30,75,3,14,35,16,40,0,0,13,37,1,4,15,9,22,0,0,0,0
259,ITA,50,94,2,44,81,6,13,0,0,25,52,1,23,45,2,7,0,0,0,0
260,BEL,223,396,18,21,50,137,253,13,26,18,38,0,1,3,10,24,6,9,2,0
261,AUS,81,130,8,29,59,47,61,5,10,11,17,2,1,3,8,9,2,5,5,1
262,JPN,45,119,0,0,0,41,104,0,0,15,27,0,0,0,14,25,0,0,0,0
263,JPN,39,72,2,1,3,37,64,0,1,14,28,1,1,3,13,23,0,1,1,1
264,GBR,43,93,1,22,49,21,42,0,1,27,51,0,11,23,16,26,0,1,0,0
265,ARG,132,275,7,113,233,17,39,2,3,25,53,1,16,34,9,19,0,0,3,1
266,ECU,73,158,2,29,68,44,89,0,1,24,50,0,8,14,16,36,0,0,0,0
267,IND,34,83,1,8,17,25,42,0,0,22,52,1,5,12,16,38,0,0,0,0
268,FRA,24,59,0,2,8,22,50,0,0,14,31,0,0,2,14,28,0,0,0,0
269,USA,3,8,0,2,3,1,5,0,0,3,7,0,2,3,1,4,0,0,0,0
270,AUT,44,95,1,7,19,36,72,0,0,28,56,0,7,16,20,37,0,0,0,0
271,RUS,281,483,19,144,244,128,221,0,1,29,55,0,7,16,18,33,0,0,10,0
272,POR,52,143,0,33,80,19,61,0,0,23,61,0,12,25,11,35,0,0,0,0
273,AUS,26,62,0,11,20,15,42,0,0,19,42,0,11,20,8,22,0,0,0,0
274,COL,201,308,18,149,224,50,81,2,3,13,25,0,4,10,9,15,0,0,10,0
275,USA,40,95,0,2,9,38,84,0,2,23,48,0,0,4,23,42,0,2,0,0
276,CRO,32,55,0,0,3,32,51,0,0,25,42,0,0,3,25,39,0,0,0,0
277,SUI,23,47,1,10,18,9,22,0,0,20,41,1,10,18,7,17,0,0,1,1
278,CRO,36,90,1,28,62,8,27,0,0,22,53,0,17,37,5,15,0,0,0,0
279,GER,24,45,1,11,20,12,22,0,0,17,31,0,11,18,5,11,0,0,0,0
280,KAZ,24,68,0,4,18,20,50,0,0,15,37,0,4,15,11,22,0,0,0,0
281,GER,118,225,11,36,76,68,122,1,4,3,15,0,0,5,1,5,2,5,4,0
282,CAN,63,144,2,3,8,60,135,0,1,20,47,1,1,3,19,44,0,0,1,0
283,TUR,65,136,2,3,14,59,115,1,3,26,49,0,0,0,23,42,1,3,0,0
284,DOM,106,231,0,90,185,16,46,0,0,22,48,0,17,34,5,14,0,0,0,0
285,GER,43,95,1,30,64,11,27,0,0,13,23,1,13,21,0,2,0,0,0,0
286,JPN,46,120,0,4,14,41,103,0,0,25,59,0,3,8,21,49,0,0,0,0
287,SVK,35,68,1,26,50,9,18,0,0,27,50,0,18,35,9,15,0,0,0,0
288,TPE,144,315,3,32,63,108,236,0,0,21,46,0,2,5,18,39,0,0,0,0
289,AUS,19,52,0,3,6,15,44,0,0,14,28,0,3,6,10,20,0,0,0,0
290,NED,15,39,0,3,12,12,27,0,0,11,24,0,2,7,9,17,0,0,0,0
291,BEL,112,219,7,101,189,11,30,0,0,14,28,1,7,14,7,14,0,0,2,0
292,SWE,21,51,0,14,37,7,14,0,0,9,18,0,4,11,5,7,0,0,0,0
293,FRA,22,44,0,13,23,9,21,0,0,20,40,0,13,23,7,17,0,0,0,0
294,BIH,129,242,6,9,31,102,179,4,9,10,26,0,0,2,8,19,2,4,2,0
295,ARG,192,345,13,175,318,17,27,0,0,13,27,1,13,27,0,0,0,0,4,0
296,JPN,11,28,0,0,0,10,24,0,0,10,21,0,0,0,10,20,0,0,0,0
297,RUS,82,171,4,39,75,42,91,0,1,22,44,0,15,26,7,17,0,0,1,0
298,USA,57,129,1,5,13,50,112,2,4,14,35,0,1,2,13,33,0,0,1,0
299,AUT,41,74,1,12,23,28,48,0,1,20,42,0,3,10,16,29,0,1,1,0
300,BRA,16,38,0,15,34,1,4,0,0,10,22,0,9,18,1,4,0,0,0,0
